cluster_id,description,references
1,"The first front identified approaches innovativeness in family owned firm context. For example, based on the literature about family functionality, family owned companies and socio-emotional wealth (SEW), Filser et al. (2018) presented a theoretical model to explain how family functionality and the SEW dimensions influence company innovation. These authors maintained that family functionality positively connects with SEW. However, divergences then appear when analysing the different dimensions to SEW in relation to innovation. In turn, Kraus et al. (2018) reported that family company performance depends on a configuration of diverse factors, among them innovativeness. According to Kallmuenzer et al.2018), studying the effects of entrepreneurial attitudes on organisational performance within the context of family owned firms identified how the control mechanisms applied to avoid agency problems moderate the effects of innovativeness on organisational performance. Furthermore, Pittino et al. (2018) who studied the moderating role of heterogeneity on governance in relation psychological ownership (PO), knowledge sharing (KS) and entrepreneurial orientation (EO), proposed the PO of family members as one of the key determinants to EO factors of proactivity and innovation in family owned companies.",[]
2,"Based on the integration of innovativeness at the individual level, with theoretical references including the acceptance of technology (TAM) and planned behaviours (TPB), Ghazali et al. (2018) identified how innovativeness influences intensions towards adopting M-Shopping. In another study, Madan and Yadav (2018) posited a significant relationship between the intension to use M-Shopping and individual innovativeness. In turn, Ramosde-Luna et al. (2016) studied the acceptance of mobile payments systems and identified how innovativeness is determinant to intensions over recourse to technology. Finally, Kaushik et al. (2015) evaluated the preferences of tourists as regards self-attendance services from the TAM analytical perspective. The authors correspondingly detailed how trust and subjective norms return a strong impact on the behavioural intensions of tourists towards the adoption of new technologies with a particular emphasis on the former factor.",[]
3,"Exploring the context of export companies and adopting the resource based vision as their theoretical framework, Vicente et  al. (2015) set out the interrelated dimensions before proposing a new scale for measuring the innovativeness of export companies (INNOVSCALE) based upon a set of Portuguese companies. The scale operationalizes innovativeness in a broad sense and as a second order construct. In turn, Nemkova et al. (2017), based on the dynamic capacities approach, included innovativeness among the capacities necessary to be able to export more and achieve competitive advantages in external markets. Another study on this front comes from Miocevic and Morgan (2018) who studied interactions among organisational capacities and entrepreneurial opportunities as well as their impacts on the exports of small scale companies. Among their results, the authors identify how companies displaying more developed levels of innovativeness better take advantage of international export opportunities. Makri et al. (2017) detailed how innovativeness positively interrelates with the decentralisation of structures and decisions taken by export companies and that generate a positive effect on export performance levels.",[]
4,"Coopetition strategies (collaboration among competitors) increasingly serve as the means adopted to drive innovation (Fernandez et  al. 2018). This represents the most prolific research front in the field of innovativeness. Within this scope, Bouncken et  al. (2016) described how the application of various types of alliance governance (relational, transactional or plural) results in different impacts on the innovation of products produced under coopetitive terms. Furthermore, Fernandez et al. (2018) studied the structures of projects undertaken by coopetitors to manage their shared innovation projects in the space satellite market, identifying how coopetitive project teams (CPT) represent a more commonly adopted solution for expensive, risky and highly innovative projects. Meanwhile, in low cost projects that require low levels of knowledge sharing, separate project teams (SPT) tend to prevail. Vanyushyn et  al. (2018) approached questions around the international coopetition associated with innovation and reported that companies cooperate with their international competitors also display a greater propensity to introduce radical innovations but that this effect remains conditioned by organisational adjustments. Hora et al. (2017) researched coopetition among start-ups and established companies in a qualitative approach exploring just which factors drove recourse to cooperation such as the management of the coopetitive relationships as well as the main implications of this strategy, including the potential benefits and risks. Finally, Klimas and Czakon (2018) also approached the relationship between coopetition and innovation based on research into Polish games developers and concluded that the organisational capacity to innovate, as well as its respective dimensions, positively interrelates with coopetition, both directly and indirectly.",[]
5,"The association between studies on innovativeness and organisational networks emerges as an important front of ongoing research. For example, Rodrigo-Alarcón et  al. (2017) approached the density of the networks in which companies participate and how these impacts on the relationships between the environment, dynamism and innovation. According to these authors, technological dynamism shapes innovation but the same does not hold for the relationship with market dynamism. In turn, Doblinger et  al. (2016) studied the mechanisms by which public policies, regulatory uncertainties and the bonds established by industrial networks impact on the business decision making processes and their innovativeness based on an institutional perspective applied to the power generation sector. Their results demonstrate how public policies may restrict innovation and the risk incurring behaviours of companies as they encourage companies to take more conservative attitudes and dissuading them from seeking out high risk innovation projects. More recently, GarcíaVillaverde et al. (2018) looked at the effects of cognitive social capital (CSC) on the entrepreneurial orientations (EO) of companies and how their capacity to absorb knowledge moderates this relationship. They correspondingly reported that CSC returns a curvilinear influence on EO as well as how this relationship becomes deeper in accordance with higher levels of absorption capacities.",[]
6,"Another active research front focuses on the detailed study of the dimensions to entrepreneurial orientation (EO), including innovativeness. For example, based upon a configurational approach and assuming EO as a formative construct, Linton and Kask (2017) propose three different combinations (ideal types) for EO and strategy, thereby identifying diverse impacts in terms of performance. Also applying a configurational approach, McKenny et al. (2018) analysed different patterns of EO and organisational performance based on the longitudinal data of technology companies. In turn, in seeking to better grasp the role of the EO dimensions to organisational performance in different contexts, Lomberg, Urbig, Stöckmann, Marino & Dickson (2017) isolated the unique effects and the shared effects of the EO dimensions of performance based upon commonality analysis.",[]
7,"The association between innovativeness and market interactions emerges as another active research front. Within this scope, Stock et  al. (2017) proposed that strategies targeting innovation, combined with transactional and transformational leadership constitute drivers for a general openness and the strategic directions that emphasise innovation and based on co-developed activities involving both companies and their clients. In turn, based upon the resource based theoretical perspective, Chen et al. (2017) evaluated the extent to which company capacities to interact with their clients impacts on performance in terms of new product development, with a particular emphasis on the mediating role of the capacity to relate with markets. Zhang et al. (2015) published another important study on this front after examining the different ways of balancing market exploration and market exploitation within the product innovation context. These correspondingly identified how market exploration drives innovativeness interrelated with new products while market exploitation more closely relates with the speed rate of new product launches.",[]
8,"The combination of the open innovation absorption capacity themes has also attracted particular levels of research interest in recent years. For example, Ghisetti, Marzucchi & Montresor (2015) studied the effect of supplying knowledge and absorption capacities to company innovation environments through applying the open innovation paradigm to research on the surrounding environment. In turn, Rubera et  al. (2016), in studying the relations existing between open innovation (OI), innovativeness and the new product portfolio (NPD) and the performance of companies in order to report the need for differentiation between the different types of OI practices while simultaneously identifying the influence of NPD capacities on OI practices. More recently, Xie et al. (2018) approached the underlying mediating mechanisms and the contextual conditions in the relationship between the acquisition of inter-organisational knowledge and the radical innovation of companies. In turn, Criscuolo et al. (2018) analysed the effectiveness of different combinations of sources of knowledge in terms of the performance in innovation and thereby identifying the utility of cognitively distant sources of knowledge to innovation but only when applied in conjunction with sources of knowledge more proximate to the company.",[]
9,"Another active research front on innovativeness deals with resistance to innovation. Thus, recognising that resistance to innovation constitutes a barrier to the adoption of new products by consumers, Heidenreich and Kraemer (2016) evaluated the efficiency of marketing instruments for reducing the negative effects of passive resistance to innovation, and thereby confirming the effectiveness of mental simulation and the comparison of benefits. Furthermore, within this same scope, Heidenreich et al. (2016) identified how consumers with high levels of passive resistance in one dimension (whether cognitive or situational) display similar negative effects while consumers with high levels in both dimensions record greater resistance to innovation. In turn, based upon a qualitative approach, Reinhardt et al. (2017) innovated through analysing the transition stage between the state of non-adoption and the state of adoption to research the triggers able to overcome the initial resistance of consumers. The authors concluded that the adoption triggers fell into three major categories, more specifically; boosting the attraction to innovation, the reduction of barriers and the inclination of the system.",[]
10,"The combining of entrepreneurial orientation (EO) and cultural aspects has emerged as a promising front of research in the innovativeness field. This front includes the work by Engelen et al. (2015) who studied the simultaneous influence of national culture and market turbulence on entrepreneurial orientations to report results that maintain a direct relationship between the phenomena subject to analysis. Furthermore, Brettel et al. (2015) put forward the core dimensions to organisational culture (group, hierarchy, development and rationale) that exercise a strong influence over EO as well as demonstrating how EO is subject to impacts from external orientations.",[]
